"journal","community"
"INQUIRY",68
"SOC LEGAL STUD",47
"APPL ECON PERSPECT P",7
"ASIAN J WTO INT HEAL",67
"ASIAN PAC MIGR J",21
"AUST SOC WORK",71
"BEHAV SLEEP MED",4
"CHILD ABUSE REV",11
"CHILD MALTREATMENT",11
"CRIME JUSTICE",47
"DEMOGRAPHY",21
"DEV COGN NEUROS-NETH",4
"ETHNIC HEALTH",3
"EVID POLICY",3
"EVOL HUM BEHAV",9
"FAM PROCESS",11
"HISPANIC J BEHAV SCI",9
"J APPL BEHAV ANAL",65
"J HEALTH ECON",7
"J MANAGE CARE PHARM",3
"J QUANT CRIMINOL",47
"J RES CRIME DELINQ",47
"J SPORT SOC ISSUES",21
"MATH POPUL STUD",8
"MOL MED",1
"POPUL DEV REV",21
"POPUL RES POLICY REV",21
"REV ECON HOUSEHOLD",7
"SEX HEALTH",13
"SOCIOL METHOD RES",17
"UCLA LAW REV",48
"URBAN POLICY RES",18
"EARLY EDUC DEV",20
"FAM SOC",71
"J EARLY INTERVENTION",65
"TOP EARLY CHILD SPEC",65
"COLUMBIA LAW REV",48
"DAEDALUS-US",37
"FOOD DRUG LAW J",48
"HARVARD CIVIL RIGHTS",48
"HARVARD ENVIRON LAW",48
"HARVARD J LAW PUBL P",48
"HARVARD LAW REV",48
"HONG KONG LAW J",67
"ICON-INT J CONST LAW",67
"INDIANA LAW J",48
"INT COMP LAW Q",67
"MELB UNIV LAW REV",69
"REGUL GOV",17
"RUTGERS LAW REV",48
"SCAND J ECON",7
"STANFORD LAW REV",48
"TEX LAW REV",48
"U PA J INT LAW",48
"U PENN LAW REV",48
"U PITT LAW REV",48
"URBAN LAWYER",48
"ADV LIFE COURSE RES",21
"ANN AM ACAD POLIT SS",21
"ARMED FORCES SOC",17
"ASIA-PAC J TEACH EDU",20
"CEPAL REV",7
"DISASTER PREV MANAG",18
"ECON DEV Q",18
"EDUC EVAL POLICY AN",20
"EDUC POLICY",20
"GOVERNANCE",17
"HEALTH PROMOT INT",3
"HEALTH-LONDON",3
"HOUSING STUD",18
"INNOVATION-ABINGDON",18
"J DEV EFFECT",7
"J INT ECON",7
"J INVEST PSYCHOL OFF",47
"J MATH SOCIOL",21
"J PEACE RES",17
"J TEACH EDUC",20
"J URBAN TECHNOL",18
"MIDDLE EASTERN STUD",17
"NAT HAZARDS REV",5
"OXFORD ECON PAP",7
"POL SOCIOL REV",21
"REV ECON STAT",7
"REV POLICY RES",64
"SECUR STUD",17
"SOCIOL FORUM",21
"SOZ WELT",21
"SPORT PSYCHOL",40
"TIDSSKR SAMFUNNSFOR",21
"WATER RESOUR MANAG",5
"Z WIRTSCHAFTSGEOGR",18
"SOC WORK",71
"J ECON POLICY REFORM",7
"J INT RELAT DEV",17
"J URBAN AFF",18
"MASS COMMUN SOC",53
"PLAN THEOR",18
"J ENG FIBER FABR",85
"J ENVIRON ENG",14
"MINER METALL PROC",14
"ROCZ OCHR SR",14
"ADV CATAL",2
"J MICROWAVE POWER EE",14
"OCHR SR",14
"P I MECH ENG E-J PRO",25
"POL J CHEM TECHNOL",14
"PROG ENERG COMBUST",43
"ADULT EDUC QUART",20
"AUST J ADULT LEARN",20
"BRIT J EDUC STUD",20
"BRIT J SOCIOL EDUC",20
"CAMB J EDUC",20
"COLL RES LIBR",57
"CRIT STUD EDUC",20
"CURRICULUM INQ",20
"E EUR POLIT SOC",17
"EUR J EDUC",20
"NAT RESOUR FORUM",18
"ADV APPL MICROBIOL",1
"AGR ECON-BLACKWELL",7
"AGR SYST",15
"AGROECOL SUST FOOD",15
"AMBIO",6
"APPL ENG AGRIC",15
"ARCT ANTARCT ALP RES",5
"AUST J GRAPE WINE R",23
"BIODEGRADATION",14
"BIOL AGRIC HORTIC",15
"BIOTECHNOL AGRON SOC",31
"CAN J SOIL SCI",15
"CARBON MANAG",15
"CHEM ECOL",14
"CIENC INVESTIG AGRAR",15
"EARTH SCI INFORM",5
"ENV MICROBIOL REP",1
"ENVIRON CHEM LETT",14
"EURASIAN SOIL SCI+",15
"FOOD SECUR",15
"GCB BIOENERGY",15
"GLOBAL BIOGEOCHEM CY",5
"HEREDITY",6
"INT J AGR SUSTAIN",15
"IRRIGATION SCI",15
"J AM WATER RESOUR AS",5
"J ENVIRON ENG GEOPH",5
"J SOIL SEDIMENT",14
"J SOIL WATER CONSERV",15
"JARQ-JPN AGR RES Q",15
"LEGUME RES",15
"NAT CLIM CHANGE",5
"PADDY WATER ENVIRON",15
"PHILIPP J CROP SCI",15
"PHYTON-INT J EXP BOT",15
"PLANT GENOME-US",15
"PLANT PROD SCI",15
"PROG PHYS GEOG",5
"RANGE MANAG AGROFOR",15
"RENEW AGR FOOD SYST",15
"S AFR J ENOL VITIC",23
"SOIL RES",15
"SOIL SCI",15
"SOIL SEDIMENT CONTAM",14
"SUGAR IND",15
"T ASABE",15
"TARIM BILIM DERG",15
"WATER QUAL RES J CAN",14
"WETL ECOL MANAG",6
"ENDOSKOPIE HEUTE",16
"MOL ONCOL",1
"CFI-CERAM FORUM INT",2
"INT J COMPUT FLUID D",43
"ANN COMB",44
"ANN I STAT MATH",24
"ANN STAT",24
"COMMUN MATH SCI",8
"J COMMUT ALGEBR",8
"J COMPUT BIOL",1
"MARKOV PROCESS RELAT",8
"RANDOM STRUCT ALGOR",44
"ADV APPL MECH",19
"ESAIM-MATH MODEL NUM",8
"J TURBOMACH",43
"ANNU REV FOOD SCI T",23
"ARCHAEA",1
"BIOL ENVIRON",6
"FOOD BIOTECHNOL",23
"FUNGAL BIOL-UK",74
"J I BREWING",23
"PREP BIOCHEM BIOTECH",14
"APPL MATH OPT",8
"BIOMETRIKA",24
"DYN GAMES APPL",45
"ECONOMET THEOR",7
"ELECTRON J STAT",24
"ESAIM-PROBAB STAT",24
"EXTREMES",24
"FINANC STOCH",86
"J COMPUT FINANC",86
"J ECON DYN CONTROL",7
"J R STAT SOC B",24
"METRIKA",24
"P I MECH ENG O-J RIS",25
"PROBAB ENG INFORM SC",24
"PROBAB MATH STAT-POL",8
"SCAND ACTUAR J",24
"SCAND J STAT",24
"SEQUENTIAL ANAL",24
"STAT NEERL",24
"STAT SCI",24
"STOCH MODELS",24
"THEOR ECOL-NETH",6
"ADV ASTRON",22
"NEW ASTRON REV",22
"ATMOS POLLUT RES",5
"IZV ATMOS OCEAN PHY+",5
"J HYDROMETEOROL",5
"J QUATERNARY SCI",5
"MAUSAM",5
"NAT GEOSCI",5
"RUSS METEOROL HYDRO+",5
"SOLA",5
"TELLUS A",5
"ADV ATOM MOL OPT PHY",2
"ADV QUANTUM CHEM",2
"FLUCT NOISE LETT",2
"AQUACULT ENG",6
"BIOCATAL BIOTRANSFOR",14
"BIOFUEL BIOPROD BIOR",14
"FOOD BIOPROD PROCESS",23
"INT J LIFE CYCLE ASS",14
"MODEL IDENT CONTROL",45
"BIOCONTROL",6
"DEV CELL",1
"MOL PLANT PATHOL",15
"NEW ZEAL J CROP HORT",15
"BLOOD CANCER J",1
"CRIT REV EUKAR GENE",1
"INT J DEV BIOL",1
"J IMMUNOTHER",1
"MOL CARCINOGEN",1
"MUTAT RES-FUND MOL M",1
"SEMIN IMMUNOL",1
"ARCH INSECT BIOCHEM",6
"MAR BIOTECHNOL",6
"INT J CHEM REACT ENG",14
"J CHEM ENG JPN",14
"GEOTECH TEST J",66
"MAGNETOHYDRODYNAMICS",2
"ADV CHILD DEV BEHAV",9
"APPL DEV SCI",9
"EARLY CHILD RES Q",20
"HUM DEV",9
"INFANT CHILD DEV",9
"INT J SCI MATH EDUC",20
"J LEARN DISABIL-US",20
"RES HUM DEV",9
"SOC DEV",9
"ANNU REV PHYSIOL",1
"CONTRIB NEPHROL",35
"J RENAL NUTR",35
"NEPHROL NURS J",35
"NEPHROL THER",35
"NEPHROLOGY",35
"NEPHRON CLIN PRACT",35
"PERITON DIALYSIS INT",35
"J ATHEROSCLER THROMB",3
"APPL RHEOL",2
"EUR J LIPID SCI TECH",23
"FOOD BIOPHYS",23
"FOOD ENG REV",23
"FOOD REV INT",23
"HOUILLE BLANCHE",5
"INT J COAL PREP UTIL",14
"INT J REFRIG",37
"IRAN J CHEM CHEM ENG",14
"J AEROSOL SCI",5
"J FOOD SCI",23
"J PLAST FILM SHEET",2
"J VINYL ADDIT TECHN",2
"SEP PURIF REV",14
"THEOR FOUND CHEM EN+",14
"WATER SCI TECH-W SUP",14
"PERSPECT POLIT",17
"COAST ENG",5
"COMM APP MATH COM SC",8
"J COMPUT GRAPH STAT",24
"J GEOM MECH",8
"J INTEGRAL EQU APPL",8
"J NUMER MATH",8
"MATH COMPUT SIMULAT",8
"PROG COMPUT FLUID DY",43
"ADV DATA ANAL CLASSI",24
"J CLASSIF",62
"STAT METHOD APPL-GER",24
"NONLINEAR ANAL-HYBRI",45
"BMC IMMUNOL",1
"CARDIOVASC ULTRASOUN",3
"CEREAL CHEM",23
"CHEM ENG PROG",14
"CURR OPIN GASTROEN",16
"CURR OPIN HIV AIDS",13
"J BIOL EDUC",20
"J WOOD CHEM TECHNOL",79
"MOL PAIN",4
"MUCOSAL IMMUNOL",1
"SOLVENT EXTR RES DEV",14
"TEACH TEACH",20
"ADV ECOL RES",6
"ARCTIC",6
"AUSTRALAS PLANT PATH",15
"BOREAL ENVIRON RES",5
"ECOL MONOGR",6
"ENTOMOL SCI",6
"ESTUAR COAST",6
"FORESTS",6
"INT J BIOMETEOROL",5
"INT REV HYDROBIOL",6
"ISR J ECOL EVOL",6
"J FOREST RES-JPN",6
"LIMNOLOGY",6
"MICROBES ENVIRON",1
"OCEANOLOGIA",5
"SILVA FENN",6
"VEG HIST ARCHAEOBOT",5
"WEST J APPL FOR",6
"REV ROUM SCI TECH-EL",52
"CHALCOGENIDE LETT",2
"J SOL ENERG-T ASME",37
"J INTELL MANUF",25
"J MANUF SYST",25
"ROBOT CIM-INT MANUF",25
"APPL BIONICS BIOMECH",60
"ENG COMPUT-GERMANY",19
"EXP TECHNIQUES",19
"FLOW MEAS INSTRUM",43
"INT J DIGIT EARTH",5
"INT J IND ENG-THEORY",25
"J BRAZ SOC MECH SCI",100
"J HYDROINFORM",5
"J MULT-VALUED LOG S",25
"J WATER RES PLAN MAN",5
"NEURAL NETW WORLD",25
"P I MECH ENG P-J SPO",40
"URBAN WATER J",14
"WIND STRUCT",37
"ADV IMMUNOL",1
"ANNU REV CELL DEV BI",1
"ANNU REV GENOM HUM G",1
"CELL COMMUN ADHES",1
"CHROMOSOME RES",1
"CURR OPIN CELL BIOL",1
"CURR TOP MEMBR",1
"CYTA-J FOOD",23
"DOSE-RESPONSE",38
"EUR CYTOKINE NETW",1
"EXPERT OPIN EMERG DR",10
"EXPERT REV MOL MED",1
"FLY",1
"GENES GENOM",1
"GENES IMMUN",1
"GENES NUTR",1
"INT IMMUNOL",1
"J CLIN LIPIDOL",3
"J FOOD SCI TECH MYS",23
"J INNOV OPT HEAL SCI",2
"J STORED PROD RES",6
"MAMM GENOME",1
"MECH DEVELOP",1
"MICROB PATHOGENESIS",1
"MOL GENET MICROBIOL+",1
"MOL REPROD DEV",1
"NAT REV GENET",1
"PLANT FOOD HUM NUTR",23
"PLASMID",1
"REV MED MICROBIOL",13
"SCAND J RHEUMATOL",42
"T AM FISH SOC",6
"TOXIN REV",38
"TRENDS IMMUNOL",1
"AM POLIT RES",17
"AM POLIT SCI REV",17
"ATTACH HUM DEV",9
"CURR OPIN ENV SUST",18
"DU BOIS REV",21
"EMOT REV",9
"ENVIRON BEHAV",18
"ESTUD PSICOL-MADRID",18
"HUM COMMUN RES",53
"HUM NATURE-INT BIOS",9
"INT J ADVERT",12
"INT ORGAN",17
"J BROADCAST ELECTRON",53
"J FORENSIC PSYCHOL P",47
"J LANG SOC PSYCHOL",9
"J MARITAL FAM THER",11
"J MASS COMMUN Q",53
"J MASS MEDIA ETHICS",53
"J MEDIA PSYCHOL-GER",53
"J MORAL EDUC",9
"LANDSCAPE RES",18
"LEARN MOTIV",9
"MAGALLANIA",5
"MOD LANG J",29
"PERS RELATIONSHIP",9
"POLIT COMMUN",17
"POLIT RELIG",17
"PSIHOLOGIJA",9
"PS-POLIT SCI POLIT",17
"PSYCHOLOGIA",9
"PUBLIC OPIN QUART",17
"REV LAT AM PSICOL",83
"SELF IDENTITY",9
"SURV RES METHODS-GER",17
"SWISS J PSYCHOL",9
"SYSTEM",29
"ZYGON",9
"CHEM UNSERER ZEIT",1
"IEEE ANTENN WIREL PR",52
"J NEW MAT ELECTR SYS",2
"J PHOTON ENERGY",2
"MICROELECTRON INT",2
"BIOTECHNOL LAW REP",1
"BMC MOL BIOL",1
"COMP CYTOGENET",6
"CURR GENET",1
"ENVIRON MOL MUTAGEN",38
"HUM HERED",1
"J GEN PLANT PATHOL",15
"DYNAM ATMOS OCEANS",5
"GEOMAT NAT HAZ RISK",5
"HYDROL RES",5
"IDOJARAS",5
"J PHYS OCEANOGR",5
"MOSC U PHYS B+",2
"PHYS CHEM EARTH",5
"LANG TEST",29
"RES PAP EDUC",20
"REV EDUC RES",20
"NEUROQUANTOLOGY",4
"IRAN J IMMUNOL",1
"BUNSEKI KAGAKU",28
"CHEMOECOLOGY",6
"PHYSIOL ENTOMOL",6
"INT MIGR",21
"J AGING STUD",3
"PSYCHOL RUNDSCH",11
"STUD SYMB INTERACT",21
"Z FAMILIENFORSCH",21
"ADV MAR BIOL",6
"ANIM CELLS SYST",1
"AQUACULT ENV INTERAC",6
"AQUAT LIVING RESOUR",6
"BOL INST PESCA",6
"FISH B-NOAA",6
"FISHERIES SCI",6
"HIDROBIOLOGICA",6
"J WORLD AQUACULT SOC",6
"NEW ZEAL J MAR FRESH",6
"OCEANOGRAPHY",5
"REV FISH SCI",6
"ANNU REV ENV RESOUR",18
"APPITA J",79
"CELL POLYM",2
"CIRCUIT WORLD",2
"CLEAN TECHNOL ENVIR",14
"IEEE PULSE",60
"IET CIRC DEVICE SYST",52
"INT J OPTOMECHATRONI",2
"J ENERG ENG",37
"J OPT SOC KOREA",2
"KAGAKU KOGAKU RONBUN",14
"NANOSC MICROSC THERM",37
"NOTES REC ROY SOC",58
"PHOTONIC NANOSTRUCT",2
"PROG OPTICS",2
"RIV NUOVO CIMENTO",2
"SEMICONDUCT SEMIMET",2
"TAPPI J",79
"TOP APPL PHYS",2
"UKR J PHYS OPT",2
"ADV THEOR MATH PHYS",32
"ALGEBR LOG+",8
"ASIAN J MATH",8
"B SYMB LOG",68
"ELECTRON RES ANNOUNC",8
"J DYN CONTROL SYST",8
"J ECON THEORY",7
"J HOMOTOPY RELAT STR",8
"J MATH ECON",7
"J MATH LOG",68
"JPN J MATH",8
"MOSC MATH J",8
"NAGOYA MATH J",8
"PUBL MAT",8
"REND SEMIN MAT U PAD",8
"REPRESENT THEOR",8
"REV SYMB LOGIC",68
"STUD LOGICA",68
"THEOR APPL CATEG",8
"Z ANAL ANWEND",8
"AEROBIOLOGIA",5
"ATMOSFERA",5
"ATMOSPHERE-BASEL",5
"J ADV MODEL EARTH SY",5
"COLLEGIAN",3
"ETHIK MED",3
"HOLIST NURS PRACT",3
"INTERV SCH CLIN",20
"J HOSP PALLIAT NURS",10
"NURS EDUC",3
"NURS SCI QUART",3
"RES GERONTOL NURS",3
"WOMEN THER",9
"J AM COLL NUTR",3
"J NUTRIGENET NUTRIGE",1
"ANIM NUTR FEED TECHN",31
"POPUL HEALTH METR",3
"ANNU REV CONDEN MA P",2
"CONTEMP PHYS",2
"GEOPHYS ASTRO FLUID",43
"J EXP EDUC",20
"J ELASTOM PLAST",2
"KGK-KAUT GUMMI KUNST",2
"LC GC N AM",28
"NIHON REOROJI GAKK",2
"PROG RUBBER PLAST RE",2
"J MATER CYCLES WASTE",14
"PACKAG TECHNOL SCI",23
"CHEM PROCESS ENG-INZ",14
"AT-AUTOM",45
"IEEE ROBOT AUTOM MAG",45
"INT J ROBOT AUTOM",45
"J MECH ROBOT",19
"OSTOMY WOUND MANAG",63
"AIR QUAL ATMOS HLTH",38
"ANN GEOPHYS-GERMANY",5
"ASTROPHYS BULL",22
"B GEOFIS TEOR APPL",5
"CONTRIB PLASM PHYS",2
"EARTH MOON PLANETS",5
"EUR J REMOTE SENS",5
"GEOFIS INT",5
"GISCI REMOTE SENS",5
"HIST GEO- SPACE SCI",5
"IEEE T POWER DELIVER",56
"IET RADAR SONAR NAV",27
"INDIAN J GEO-MAR SCI",6
"J ASTROPHYS ASTRON",22
"J INDIAN SOC REMOTE",5
"J SPAT SCI",5
"J THERM SCI TECH-JPN",37
"KINEMAT PHYS CELEST+",22
"LIVING REV SOL PHYS",22
"MAR GEOD",5
"PLASMA PHYS CONTR F",2
"PLASMA PHYS REP+",2
"RADIAT ENVIRON BIOPH",26
"SOLAR SYST RES+",5
"SPACE WEATHER",5
"AQUAT MAMM",6
"EVOL ANTHROPOL",50
"J ANTHROPOL SCI",50
"J COMP PSYCHOL",6
"J HERED",6
"MAR MAMMAL SCI",6
"ARCH MICROBIOL",1
"PERIOD POLYTECH-CHEM",14
"STUD HIST PHILOS M P",68
"SYMMETRY-BASEL",2
"J MICROBIOL IMMUNOL",13
"J APICULT RES",6
"VET QUART",31
"VIROLOGIE",1
"CAN WATER RESOUR J",5
"CIV ENG ENVIRON SYST",14
"CRYOGENICS",2
"EARTH INTERACT",5
"GEOMORPHOLOGIE",5
"GLOBAL NEST J",14
"GROUND WATER MONIT R",14
"GRUNDWASSER",5
"IJST-T CIV ENG",19
"INT J WATER RESOUR D",5
"IRRIG DRAIN",15
"J ENVIRON INFORM",5
"J FLOOD RISK MANAG",5
"J HYDRO-ENVIRON RES",5
"J WATER CLIM CHANGE",5
"JOKULL",5
"LAKE RESERV MANAGE",6
"MT RES DEV",18
"SOIL WATER RES",15
"TECNOL CIENC AGUA",5
"WATER RESOUR+",5
"ENVIRON CHEM",14
"GEOGR ANN A",5
"CARPATHIAN J MATH",8
"B INSECTOL",6
"INDOOR AIR",37
"INT J ADAPT CONTROL",45
"INT J MICRO AIR VEH",43
"J AM HELICOPTER SOC",43
"J WIND ENG IND AEROD",37
"STUD HIST PHILOS SCI",58
"THERMOPHYS AEROMECH+",43
"BIOCONTROL SCI",23
"GEFAHRST REINHALT L",38
"HVAC&R RES",37
"IEEE T IND APPL",56
"INT J ENVIRON POLLUT",14
"INT J GREEN ENERGY",37
"INT J VENT",37
"J ATMOS CHEM",5
"J EXPO SCI ENV EPID",38
"J MAR ENG TECHNOL",81
"IEEE CONTR SYST MAG",45
"INT J TURBO JET ENG",43
"J THERM SCI",37
"MECH IND",19
"WIND ENERGY",37
"B ACAD NAT MED PARIS",3
"CAN J PLAST SURG",63
"FEM THEOR",21
"APPL COMPUT ELECTROM",52
"FREQUENZ",52
"IEEE T ELECTROMAGN C",52
"IET MICROW ANTENNA P",52
"J ELECTR ENG-SLOVAK",56
"MICROWAVES RF",52
"AFFILIA J WOM SOC WO",71
"FEM CRIMINOL",47
"HOMICIDE STUD",47
"J PUBLIC ECON",7
"J WOMEN POLIT POLICY",17
"QUAL SOC WORK",71
"SEXUALITIES",21
"SIGNS",21
"AFR AFFAIRS",18
"AFR ASIAN STUD",17
"AFR J RANGE FOR SCI",6
"AFR SPECTR",18
"AFR STUD-UK",18
"AFRICA",18
"AM J POLIT SCI",17
"ANTHROPOL SOUTH AFR",18
"ANTHROPOS",50
"BRIT WORLD",46
"CAMB REV INT AFF",17
"CITIZENSHIP STUD",21
"COMMUNITY DEV J",18
"COMP POLIT",17
"CONFLICT MANAG PEACE",17
"CURR ANTHROPOL",50
"DEMOCRATIZATION",17
"DEV CHANGE",18
"DEV SO AFR",18
"ECQUID NOVI-AFR JOUR",53
"ETHNOS",50
"GLOB POLICY",17
"HABITAT INT",18
"HUM RIGHTS QUART",17
"IDS BULL-I DEV STUD",18
"INT AFF",17
"INT INTERACT",17
"INT J TRANSIT JUST",17
"INT PEACEKEEPING",17
"INT POLIT SOCIOL",17
"J AFR CULT STUD",53
"J AFR ECON",7
"J AFR HIST",46
"J AGRAR CHANGE",18
"J EAST AFR STUD",18
"J HIST BEHAV SCI",58
"J MOD AFR STUD",18
"J ROY ANTHROPOL INST",50
"J S AFR STUD",18
"J STRATEGIC STUD",17
"LABOR HIST-UK",46
"NATIONS NATL",17
"PLAN PERSPECT",18
"POLIT GEOGR",18
"PUBLIUS J FEDERALISM",17
"REV AFR POLIT ECON",18
"REV INCOME WEALTH",7
"REV INT STUD",17
"SOC DYNAMICS",18
"SOCIOL RELIG",21
"STUD COMP INT DEV",17
"STUD CONFL TERROR",17
"THIRD WORLD Q",18
"WORLD BANK RES OBSER",7
"WORLD POLIT",17
"ERDKUNDE",18
"ETHNIC RACIAL STUD",21
"ETHNOGRAPHY",21
"GLOBAL ECON REV",7
"INT FEM J POLIT",17
"J APPL PHILOS",69
"J SCHOLARLY PUBL",57
"AFR DEV REV",7
"AGREKON",18
"CHINA ECON REV",7
"COLUMBIA J TRANS LAW",67
"CONTEMP ECON POLICY",7
"APPL ENTOMOL ZOOL",6
"AUST J ENTOMOL",6
"COLEOPTS BULL",6
"KOEDOE",6
"MALAWI MED J",3
"REPROD HEALTH MATTER",3
"AFR J HERPETOL",6
"BOIS FOR TROP",6
"FOLIA PRIMATOL",6
"J TROP FOR SCI",6
"PACHYDERM",6
"RADIOCARBON",5
"RANGELAND J",6
"SALAMANDRA",6
"AFR J LIBR ARCH INFO",57
"ELECTRON LIBR",57
"LIBRI",57
"PROGRAM-ELECTRON LIB",57
"REV FISH BIOL FISHER",6
"BMC INT HEALTH HUM R",3
"FRONT ECOL ENVIRON",6
"HOMEOPATHY",23
"AFR LINGUIST",29
"J AFR LANG LINGUIST",29
"J HIST PRAGMAT",29
"LANG SOC",29
"LEXIKOS",29
"STUD LANG",29
"CRIT ANTHROPOL",50
"CRIT ARTS",53
"ENGL TODAY",29
"INT J HIST SPORT",46
"SOCIOLOGUS",18
"COMP STUD SOC HIST",46
"COMPARE",20
"CONTEMP POLIT",17
"LANG POLICY-NETH",29
"POLITY",17
"J COMP FAM STUD",21
"MEN MASC",21
"AGR HUM VALUES",18
"AJAR-AFR J AIDS RES",13
"AM HIST REV",46
"ANTHROPOL QUART",50
"ANTIQUITY",50
"CULT PSYCHOL",9
"FIELD METHOD",17
"INT J COMMONS",18
"J DEMOCR",17
"J EARLY MOD HIST",46
"J THEOR SOC BEHAV",21
"MALAYS J LIBR INF SC",57
"AGING MALE",3
"ARCH BUDO",40
"ARCH CARDIOVASC DIS",3
"ECON SOC REV",7
"EXERC SPORT SCI REV",40
"HEALTH REP",3
"HEALTH RISK SOC",3
"HEART RHYTHM",3
"INT J GERONTOL",3
"J AGING PHYS ACTIV",3
"J CACHEXIA SARCOPENI",3
"J GERIATR PHYS THER",3
"J PHYSIOTHER",4
"J POLICY PRACT INTEL",65
"MED LAW REV",3
"NUTR CLIN METAB",3
"OCCUP THER INT",91
"PERSPECT PUBLIC HEAL",3
"POP STUD-J DEMOG",21
"RES AGING",3
"SOMATOSENS MOT RES",4
"ASIA EUR J",17
"AUST ECON HIST REV",46
"AUST ECON REV",7
"AUST FEMINIST STUD",21
"AUST J EDUC",20
"AUST J INT AFF",17
"AUST J POLIT SCI",17
"CITIES",18
"CONTINUUM-J MEDIA CU",53
"CRIME MEDIA CULT",47
"DISCOURSE-ABINGDON",20
"ENVIRON POLIT",18
"INT J CULT POLICY",18
"INT RELAT ASIA-PAC",17
"J AUST STUD",73
"J SOC ARCHAEOL",50
"LABOUR HIST-AUST",46
"MEDIA INT AUST",53
"MEM STUD",21
"RACE CLASS",73
"COMP BIOCHEM PHYS D",6
"EUR J CELL BIOL",1
"APPL SPAT ANAL POLIC",18
"ASIAN POPUL STUD",21
"AUST J SOC ISSUES",21
"B ASOC GEOGR ESP",18
"CLOTH TEXT RES J",85
"CONVERGENCIA",17
"CRIT SOC POLICY",21
"DISCOURSE COMMUN",29
"DVE DOMOVINI",21
"EAST EUR COUNTRYSIDE",21
"GENERATIONS",3
"HEALTH CARE ANAL",3
"INFORM HEALTH SOC CA",3
"INT J ART DES EDUC",20
"INT J FEM APPROACHES",3
"J GENDER STUD",21
"J HOUS BUILT ENVIRON",18
"J MAPS",5
"J SOC POLICY",21
"LEISURE SCI",70
"NEW PERSPECT TURK",18
"PRAGMAT SOC",29
"SCRIPTA NOVA",18
"CAN J CRIMINOL CRIM",47
"COMMUNICATIONS-GER",53
"CRIT CRIMINOL-NETH",47
"CULT EDUC",83
"EUR J PSYCHOL APPL L",47
"FUTURE CHILD",21
"J APPL RES INTELLECT",65
"J SCH NURS",3
"SEX ABUSE-J RES TR",47
"THEOR CRIMINOL",47
"THEOR PRACT",20
"INT J CONFL VIOLENCE",9
"INT J PERF ANAL SPOR",40
"J ARCHAEOL RES",50
"J MENS HEALTH",3
"SCHOOL PSYCHOL QUART",20
"CIRC-CARDIOVASC GENE",3
"CURR OPIN GENET DEV",1
"EVOL BIOINFORM",6
"J EXERC SCI FIT",40
"Q REV BIOL",6
"SEMIN HEMATOL",1
"TRANSPLANT REV-ORLAN",35
"J GERIATR CARDIOL",3
"B MENNINGER CLIN",11
"FAM COMMUNITY HEALTH",3
"INT J PSYCHOL RELIG",9
"J ADULT DEV",9
"J FAM THER",11
"ONOMAZEIN",29
"FOLIA BIOL-PRAGUE",1
"AM J AGR ECON",7
"ANNU REV RESOUR ECON",7
"ASIAN ECON J",7
"AUST J AGR RESOUR EC",7
"CAN J AGR ECON",7
"CUAD DESARRO RURAL",18
"DEV ECON",7
"EMPIR ECON",7
"ENVIRON DEV ECON",7
"EURASIAN GEOGR ECON",18
"INT MIGR REV",21
"J AGR ECON",7
"J AGR RESOUR ECON",7
"J ECON LIT",7
"J FAC AGR KYUSHU U",15
"J INT DEV",7
"LAND ECON",7
"NEW MEDIT",18
"PAC REV",17
"RESOUR ENERGY ECON",7
"REV ECON POLIT",107
"REV ENV ECON POLICY",7
"REV FAC CIENC AGRAR",15
"WATER INT",5
"WORLD BANK ECON REV",7
"WORLD ECON",7
"LISTY CUKROV REPAR",15
"MORAV GEOGR REP",18
"AGROCIENCIA-MEXICO",15
"AM SCI",6
"AMA-AGR MECH ASIA AF",15
"BALTICA",5
"BELG J ZOOL",6
"CAH AGRIC",15
"CLIM POLICY",37
"COMPOST SCI UTIL",15
"CONSERV LETT",6
"EKOLOJI",14
"ENTOMOL GEN",6
"ENTOMOL RES",6
"ENVIRON GEOCHEM HLTH",14
"ENVIRON IMPACT ASSES",18
"GEOGR TIDSSKR-DEN",18
"GRASSL SCI",15
"HYDROL WASSERBEWIRTS",5
"INLAND WATERS",6
"INT J GLOBAL WARM",14
"INT J PEST MANAGE",6
"IRAN J ENVIRON HEALT",14
"ISOT ENVIRON HEALT S",5
"ITAL J AGROMETEOROL",15
"ITEA-INF TEC ECON AG",23
"J ENVIRON DEV",18
"J ENVIRON ENG LANDSC",14
"J ENVIRON HEALTH",38
"J INTEGR ENVIRON SCI",18
"J LEPID SOC",6
"J PLANT DIS PROTECT",15
"J RESIDUALS SCI TECH",14
"J RUBBER RES",15
"MITIG ADAPT STRAT GL",18
"MYCOLOGIA",74
"ORNITHOL SCI",6
"PAN-PAC ENTOMOL",6
"PHILIPP AGRIC SCI",15
"PLANT GENET RESOUR-C",15
"POTATO RES",15
"PROG DEV STUD",18
"REDIA",6
"REV ECOL-TERRE VIE",6
"REV FAC AGRON LUZ",23
"REV GEOGR NORTE GD",18
"SINGAPORE J TROP GEO",18
"SOUTHEAST NAT",6
"WASTE MANAGE RES",14
"WEED BIOL MANAG",15
"AGRARFORSCH SCHWEIZ+",15
"ASIAN MYRMECOL",6
"J ENTOMOL SCI",6
"AQUAT SCI",6
"ASIA LIFE SCI",6
"AUST METEOROL OCEAN",5
